[2024-07-10 15:33:39,595:INFO:common:created directory at: artifacts/data_ingestion]
[2024-07-10 15:33:39,595:INFO:01_data_ingestion:Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to the file artifacts/data_ingestion/data.zip]
[2024-07-10 15:36:44,356:INFO:01_data_ingestion:Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to the file artifacts/data_ingestion/data.zip]
[2024-07-10 15:38:12,446:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:38:12,447:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:38:12,447:INFO:common:created directory at: artifacts]
[2024-07-10 15:38:12,447:INFO:common:created directory at: artifacts/data_ingestion]
[2024-07-10 15:38:12,447:INFO:01_data_ingestion:Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to the file artifacts/data_ingestion/data.zip]
[2024-07-10 15:40:30,719:INFO:01_data_ingestion:Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to the file artifacts/data_ingestion/data.zip]
[2024-07-10 16:19:58,419:INFO:main:>>>>>> stage Data Ingestion Stage started <<<<<]
[2024-07-10 16:19:58,420:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 16:19:58,421:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 16:19:58,421:INFO:common:created directory at: artifacts]
[2024-07-10 16:19:58,421:INFO:common:created directory at: artifacts/data_ingestion]
[2024-07-10 16:19:58,421:INFO:data_ingestion:Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to the file artifacts/data_ingestion/data.zip]
[2024-07-10 16:20:11,998:INFO:data_ingestion:Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing to the file artifacts/data_ingestion/data.zip]
[2024-07-10 16:20:12,445:INFO:main:>>>>> stage Data Ingestion Stage completed <<<<<<]
